"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"270","1946","206","Wendell M. Stanley","Chemistry","The Nobel Prize in Chemistry",121524,2549333,"1/4","for their preparation of enzymes and virus proteins in a pure form",NA,"1904-08-16",0
"271","1946","617","Hermann Hesse","Literature","The Nobel Prize in Literature",121524,2549333,"1","for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",NA,"1877-07-02",0
"272","1946","506","Emily Greene Balch","Peace","The Nobel Peace Prize",121524,2549333,"1/2","for her lifelong work for the cause of peace","1946-11-14","1867-01-08",0
"273","1946","507","John R. Mott","Peace","The Nobel Peace Prize",121524,2549333,"1/2","for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries","1946-11-14","1865-05-25",0
"274","1946","51","Percy W. Bridgman","Physics","The Nobel Prize in Physics",121524,2549333,"1","for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",NA,"1882-04-21",0
"275","1946","342","Hermann J. Muller","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",121524,2549333,"1","for the discovery of the production of mutations by means of X-ray irradiation",NA,"1890-12-21",0
"276","1947","207","Sir Robert Robinson","Chemistry","The Nobel Prize in Chemistry",146115,2967378,"1","for his investigations on plant products of biological importance, especially the alkaloids",NA,"1886-09-13",0
"277","1947","618","André Gide","Literature","The Nobel Prize in Literature",146115,2967378,"1","for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",NA,"1869-11-22",0
"278","1947","508",NA,"Peace","The Nobel Peace Prize",146115,2967378,"1/2","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations","1947-10-30",NA,0
"279","1947","509",NA,"Peace","The Nobel Peace Prize",146115,2967378,"1/2","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations","1947-10-30",NA,0
"280","1947","52","Edward V. Appleton","Physics","The Nobel Prize in Physics",146115,2967378,"1","for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer",NA,"1892-09-06",0
"281","1947","343","Carl Cori","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",146115,2967378,"1/4","for their discovery of the course of the catalytic conversion of glycogen",NA,"1896-12-05",0
"282","1947","344","Gerty Cori","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",146115,2967378,"1/4","for their discovery of the course of the catalytic conversion of glycogen",NA,"1896-08-15",0
"283","1947","345","Bernardo Houssay","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",146115,2967378,"1/2","for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar",NA,"1887-04-10",0
"284","1948","208","Arne Tiselius","Chemistry","The Nobel Prize in Chemistry",159773,3112313,"1","for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",NA,"1902-08-10",0
"285","1948","619","T.S. Eliot","Literature","The Nobel Prize in Literature",159773,3112313,"1","for his outstanding, pioneer contribution to present-day poetry",NA,"1888-09-26",0
"286","1948",NA,NA,"Peace","The Nobel Peace Prize",159773,3112313,NA,NA,NA,NA,0
"287","1948","53","Patrick M.S. Blackett","Physics","The Nobel Prize in Physics",159773,3112313,"1","for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",NA,"1897-11-18",0
"288","1948","346","Paul Müller","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",159773,3112313,"1","for his discovery of the high efficiency of DDT as a contact poison against several arthropods",NA,"1899-01-12",0
"289","1949","209","William F. Giauque","Chemistry","The Nobel Prize in Chemistry",156290,2983576,"1","for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",NA,"1895-05-12",0
"290","1949","620","William Faulkner","Literature","The Nobel Prize in Literature",156290,2983576,"1","for his powerful and artistically unique contribution to the modern American novel",NA,"1897-09-25",0
"291","1949","510","Lord Boyd Orr","Peace","The Nobel Peace Prize",156290,2983576,"1","for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war","1949-10-12","1880-09-23",0
"292","1949","54","Hideki Yukawa","Physics","The Nobel Prize in Physics",156290,2983576,"1","for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces",NA,"1907-01-23",0
"293","1949","347","Walter Hess","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",156290,2983576,"1/2","for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs",NA,"1881-03-17",0
"294","1949","348","Egas Moniz","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",156290,2983576,"1/2","for his discovery of the therapeutic value of leucotomy in certain psychoses",NA,"1874-11-29",0
"295","1950","210","Otto Diels","Chemistry","The Nobel Prize in Chemistry",164304,3105508,"1/2","for their discovery and development of the diene synthesis",NA,"1876-01-23",0
"296","1950","211","Kurt Alder","Chemistry","The Nobel Prize in Chemistry",164304,3105508,"1/2","for their discovery and development of the diene synthesis",NA,"1902-07-10",0
"297","1950","621","Bertrand Russell","Literature","The Nobel Prize in Literature",164304,3105508,"1","in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought",NA,"1872-05-18",0
"298","1950","511","Ralph Bunche","Peace","The Nobel Peace Prize",164304,3105508,"1","for his work as mediator in Palestine in 1948-1949","1950-09-22","1904-08-07",0
"299","1950","55","Cecil Powell","Physics","The Nobel Prize in Physics",164304,3105508,"1","for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method",NA,"1903-12-05",0
"300","1950","349","Edward C. Kendall","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",164304,3105508,"1/3","for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",NA,"1886-03-08",0
"301","1950","350","Tadeus Reichstein","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",164304,3105508,"1/3","for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",NA,"1897-07-20",0
"302","1950","351","Philip S. Hench","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",164304,3105508,"1/3","for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",NA,"1896-02-28",0
"303","1951","212","Edwin M. McMillan","Chemistry","The Nobel Prize in Chemistry",167612,2734798,"1/2","for their discoveries in the chemistry of the transuranium elements",NA,"1907-09-18",0
"304","1951","213","Glenn T. Seaborg","Chemistry","The Nobel Prize in Chemistry",167612,2734798,"1/2","for their discoveries in the chemistry of the transuranium elements",NA,"1912-04-19",0
"305","1951","622","Pär Lagerkvist","Literature","The Nobel Prize in Literature",167612,2734798,"1","for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind",NA,"1891-05-23",0
"306","1951","512","Léon Jouhaux","Peace","The Nobel Peace Prize",167612,2734798,"1","for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations",NA,"1879-07-01",0
"307","1951","56","John Cockcroft","Physics","The Nobel Prize in Physics",167612,2734798,"1/2","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles",NA,"1897-05-27",0
"308","1951","57","Ernest T.S. Walton","Physics","The Nobel Prize in Physics",167612,2734798,"1/2","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles",NA,"1903-10-06",0
"309","1951","352","Max Theiler","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",167612,2734798,"1","for his discoveries concerning yellow fever and how to combat it",NA,"1899-01-30",0
"310","1952","214","Archer J.P. Martin","Chemistry","The Nobel Prize in Chemistry",171135,2592831,"1/2","for their invention of partition chromatography",NA,"1910-03-01",0
"311","1952","215","Richard L.M. Synge","Chemistry","The Nobel Prize in Chemistry",171135,2592831,"1/2","for their invention of partition chromatography",NA,"1914-10-28",0
"312","1952","623","François Mauriac","Literature","The Nobel Prize in Literature",171135,2592831,"1","for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life",NA,"1885-10-11",0
"313","1952","513","Albert Schweitzer","Peace","The Nobel Peace Prize",171135,2592831,"1","for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one","1953-10-30","1875-01-14",0
"314","1952","58","Felix Bloch","Physics","The Nobel Prize in Physics",171135,2592831,"1/2","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith",NA,"1905-10-23",0
"315","1952","59","E. M. Purcell","Physics","The Nobel Prize in Physics",171135,2592831,"1/2","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith",NA,"1912-08-30",0
"316","1952","353","Selman A. Waksman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",171135,2592831,"1","for his discovery of streptomycin, the first antibiotic effective against tuberculosis",NA,"1888-07-22",0
"317","1953","216","Hermann Staudinger","Chemistry","The Nobel Prize in Chemistry",175293,2614331,"1","for his discoveries in the field of macromolecular chemistry",NA,"1881-03-23",0
"318","1953","624","Winston Churchill","Literature","The Nobel Prize in Literature",175293,2614331,"1","for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values",NA,"1874-11-30",0
"319","1953","514","George C. Marshall","Peace","The Nobel Peace Prize",175293,2614331,"1","for proposing and supervising the plan for the economic recovery of Europe","1953-10-30","1880-12-31",0
"320","1953","60","Frits Zernike","Physics","The Nobel Prize in Physics",175293,2614331,"1","for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",NA,"1888-07-16",0
"321","1953","354","Hans Krebs","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",175293,2614331,"1/2","for his discovery of the citric acid cycle",NA,"1900-08-25",0
"322","1953","355","Fritz Lipmann","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",175293,2614331,"1/2","for his discovery of co-enzyme A and its importance for intermediary metabolism",NA,"1899-06-12",0
"323","1954","217","Linus Pauling","Chemistry","The Nobel Prize in Chemistry",181647,2688094,"1","for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances",NA,"1901-02-28",0
"324","1954","625","Ernest Hemingway","Literature","The Nobel Prize in Literature",181647,2688094,"1","for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",NA,"1899-07-21",0
"325","1954","515",NA,"Peace","The Nobel Peace Prize",181647,2688094,"1","for its efforts to heal the wounds of war by providing help and protection to refugees all over the world","1955-11-05",NA,0
"326","1954","61","Max Born","Physics","The Nobel Prize in Physics",181647,2688094,"1/2","for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",NA,"1882-12-11",0
"327","1954","62","Walther Bothe","Physics","The Nobel Prize in Physics",181647,2688094,"1/2","for the coincidence method and his discoveries made therewith",NA,"1891-01-08",0
"328","1954","356","John F. Enders","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",181647,2688094,"1/3","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",NA,"1897-02-10",0
"329","1954","357","Thomas H. Weller","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",181647,2688094,"1/3","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",NA,"1915-06-15",0
"330","1954","358","Frederick C. Robbins","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",181647,2688094,"1/3","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",NA,"1916-08-25",0
"331","1955","218","Vincent du Vigneaud","Chemistry","The Nobel Prize in Chemistry",190214,2730214,"1","for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone","1955-11-02","1901-05-18",0
"332","1955","626","Halldór Laxness","Literature","The Nobel Prize in Literature",190214,2730214,"1","for his vivid epic power which has renewed the great narrative art of Iceland","1955-10-27","1902-04-23",0
"333","1955",NA,NA,"Peace","The Nobel Peace Prize",190214,2730214,NA,NA,NA,NA,0
"334","1955","63","Willis E. Lamb","Physics","The Nobel Prize in Physics",190214,2730214,"1/2","for his discoveries concerning the fine structure of the hydrogen spectrum","1955-11-02","1913-07-12",0
"335","1955","64","Polykarp Kusch","Physics","The Nobel Prize in Physics",190214,2730214,"1/2","for his precision determination of the magnetic moment of the electron","1955-11-02","1911-01-26",0
"336","1955","359","Hugo Theorell","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",190214,2730214,"1","for his discoveries concerning the nature and mode of action of oxidation enzymes","1955-10-20","1903-07-06",0
"337","1956","219","Sir Cyril Hinshelwood","Chemistry","The Nobel Prize in Chemistry",200123,2748452,"1/2","for their researches into the mechanism of chemical reactions",NA,"1897-05-19",0
"338","1956","220","Nikolay Semenov","Chemistry","The Nobel Prize in Chemistry",200123,2748452,"1/2","for their researches into the mechanism of chemical reactions",NA,"1896-04-03",0
"339","1956","627","Juan Ramón Jiménez","Literature","The Nobel Prize in Literature",200123,2748452,"1","for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",NA,"1881-12-24",0
"340","1956",NA,NA,"Peace","The Nobel Peace Prize",200123,2748452,NA,NA,NA,NA,0
"341","1956","65","William B. Shockley","Physics","The Nobel Prize in Physics",200123,2748452,"1/3","for their researches on semiconductors and their discovery of the transistor effect",NA,"1910-02-13",0
"342","1956","66","John Bardeen","Physics","The Nobel Prize in Physics",200123,2748452,"1/3","for their researches on semiconductors and their discovery of the transistor effect",NA,"1908-05-23",0
"343","1956","67","Walter H. Brattain","Physics","The Nobel Prize in Physics",200123,2748452,"1/3","for their researches on semiconductors and their discovery of the transistor effect",NA,"1902-02-10",0
"344","1956","360","André F. Cournand","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",200123,2748452,"1/3","for their discoveries concerning heart catheterization and pathological changes in the circulatory system",NA,"1895-09-24",0
"345","1956","361","Werner Forssmann","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",200123,2748452,"1/3","for their discoveries concerning heart catheterization and pathological changes in the circulatory system",NA,"1904-08-29",0
"346","1956","362","Dickinson W. Richards","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",200123,2748452,"1/3","for their discoveries concerning heart catheterization and pathological changes in the circulatory system",NA,"1895-10-30",0
"347","1957","221","Lord Todd","Chemistry","The Nobel Prize in Chemistry",208629,2746709,"1","for his work on nucleotides and nucleotide co-enzymes",NA,"1907-10-02",0
"348","1957","628","Albert Camus","Literature","The Nobel Prize in Literature",208629,2746709,"1","for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",NA,"1913-11-07",0
"349","1957","516","Lester Bowles Pearson","Peace","The Nobel Peace Prize",208629,2746709,"1","for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis","1957-10-03","1897-04-23",0
"350","1957","68","Chen Ning Yang","Physics","The Nobel Prize in Physics",208629,2746709,"1/2","for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles",NA,"1922-09-22",0
"351","1957","69","Tsung-Dao Lee","Physics","The Nobel Prize in Physics",208629,2746709,"1/2","for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles",NA,"1926-11-24",0
"352","1957","363","Daniel Bovet","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",208629,2746709,"1","for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",NA,"1907-03-23",0
"353","1958","222","Frederick Sanger","Chemistry","The Nobel Prize in Chemistry",214559,2694692,"1","for his work on the structure of proteins, especially that of insulin",NA,"1918-08-13",0
"354","1958","629","Boris Pasternak","Literature","The Nobel Prize in Literature",214559,2694692,"1","for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition",NA,"1890-02-10",0
"355","1958","517","Georges Pire","Peace","The Nobel Peace Prize",214559,2694692,"1","for his efforts to help refugees to leave their camps and return to a life of freedom and dignity","1958-11-10","1910-02-10",0
"356","1958","70","Pavel A. Cherenkov","Physics","The Nobel Prize in Physics",214559,2694692,"1/3","for the discovery and the interpretation of the Cherenkov effect",NA,"1904-07-28",0
"357","1958","71","Igor Y. Tamm","Physics","The Nobel Prize in Physics",214559,2694692,"1/3","for the discovery and the interpretation of the Cherenkov effect",NA,"1895-07-08",0
"358","1958","721","Il´ja M. Frank","Physics","The Nobel Prize in Physics",214559,2694692,"1/3","for the discovery and the interpretation of the Cherenkov effect",NA,"1908-10-23",0
"359","1958","364","George Beadle","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",214559,2694692,"1/4","for their discovery that genes act by regulating definite chemical events",NA,"1903-10-22",0
"360","1958","365","Edward Tatum","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",214559,2694692,"1/4","for their discovery that genes act by regulating definite chemical events",NA,"1909-12-14",0
"361","1958","366","Joshua Lederberg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",214559,2694692,"1/2","for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria",NA,"1925-05-23",0
"362","1959","223","Jaroslav Heyrovsky","Chemistry","The Nobel Prize in Chemistry",220678,2753427,"1","for his discovery and development of the polarographic methods of analysis",NA,"1890-12-20",0
"363","1959","630","Salvatore Quasimodo","Literature","The Nobel Prize in Literature",220678,2753427,"1","for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",NA,"1901-08-20",0
"364","1959","518","Philip Noel-Baker","Peace","The Nobel Peace Prize",220678,2753427,"1","for his longstanding contribution to the cause of disarmament and peace","1959-11-05","1889-11-01",0
"365","1959","72","Emilio Segrè","Physics","The Nobel Prize in Physics",220678,2753427,"1/2","for their discovery of the antiproton",NA,"1905-02-01",0
"366","1959","73","Owen Chamberlain","Physics","The Nobel Prize in Physics",220678,2753427,"1/2","for their discovery of the antiproton",NA,"1920-07-10",0
"367","1959","367","Severo Ochoa","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",220678,2753427,"1/2","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid",NA,"1905-09-24",0
"368","1959","368","Arthur Kornberg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",220678,2753427,"1/2","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid",NA,"1918-03-03",0
"369","1960","224","Willard F. Libby","Chemistry","The Nobel Prize in Chemistry",225987,2713265,"1","for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science","1960-11-03","1908-12-17",0
"370","1960","631","Saint-John Perse","Literature","The Nobel Prize in Literature",225987,2713265,"1","for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time","1960-10-26","1887-05-31",0
"371","1960","519","Albert Luthuli","Peace","The Nobel Peace Prize",225987,2713265,"1","for his non-violent struggle against apartheid","1961-10-23","1898-00-00",0
"372","1960","74","Donald A. Glaser","Physics","The Nobel Prize in Physics",225987,2713265,"1","for the invention of the bubble chamber","1960-11-03","1926-09-21",0
"373","1960","369","Sir Frank Macfarlane Burnet","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",225987,2713265,"1/2","for discovery of acquired immunological tolerance","1960-10-20","1899-09-03",0
"374","1960","370","Peter Medawar","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",225987,2713265,"1/2","for discovery of acquired immunological tolerance","1960-10-20","1915-02-28",0
"375","1961","225","Melvin Calvin","Chemistry","The Nobel Prize in Chemistry",250233,2930643,"1","for his research on the carbon dioxide assimilation in plants",NA,"1911-04-08",0
"376","1961","633","Ivo Andric","Literature","The Nobel Prize in Literature",250233,2930643,"1","for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country",NA,"1892-10-10",0
"377","1961","520","Dag Hammarskjöld","Peace","The Nobel Peace Prize",250233,2930643,"1","for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter","1961-10-23","1905-07-29",0
"378","1961","75","Robert Hofstadter","Physics","The Nobel Prize in Physics",250233,2930643,"1/2","for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons",NA,"1915-02-05",0
"379","1961","76","Rudolf Mössbauer","Physics","The Nobel Prize in Physics",250233,2930643,"1/2","for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name",NA,"1929-01-31",0
"380","1961","371","Georg von Békésy","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",250233,2930643,"1","for his discoveries of the physical mechanism of stimulation within the cochlea",NA,"1899-06-03",0
"381","1962","226","Max F. Perutz","Chemistry","The Nobel Prize in Chemistry",257220,2888429,"1/2","for their studies of the structures of globular proteins",NA,"1914-05-19",0
"382","1962","227","John C. Kendrew","Chemistry","The Nobel Prize in Chemistry",257220,2888429,"1/2","for their studies of the structures of globular proteins",NA,"1917-03-24",0
"383","1962","634","John Steinbeck","Literature","The Nobel Prize in Literature",257220,2888429,"1","for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",NA,"1902-02-27",0
"384","1962","217","Linus Pauling","Peace","The Nobel Peace Prize",257220,2888429,"1","for his fight against the nuclear arms race between East and West","1963-10-10","1901-02-28",0
"385","1962","77","Lev Landau","Physics","The Nobel Prize in Physics",257220,2888429,"1","for his pioneering theories for condensed matter, especially liquid helium",NA,"1908-01-22",0
"386","1962","372","Francis Crick","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",257220,2888429,"1/3","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material",NA,"1916-06-08",0
"387","1962","373","James Watson","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",257220,2888429,"1/3","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material",NA,"1928-04-06",0
"388","1962","374","Maurice Wilkins","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",257220,2888429,"1/3","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material",NA,"1916-12-15",0
"389","1963","228","Karl Ziegler","Chemistry","The Nobel Prize in Chemistry",265000,2890771,"1/2","for their discoveries in the field of the chemistry and technology of high polymers",NA,"1898-11-26",0
"390","1963","229","Giulio Natta","Chemistry","The Nobel Prize in Chemistry",265000,2890771,"1/2","for their discoveries in the field of the chemistry and technology of high polymers",NA,"1903-02-26",0
"391","1963","635","Giorgos Seferis","Literature","The Nobel Prize in Literature",265000,2890771,"1","for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",NA,"1900-03-13",0
"392","1963","482",NA,"Peace","The Nobel Peace Prize",265000,2890771,"1/2","for promoting the principles of the Geneva Convention and cooperation with the UN","1963-10-10",NA,0
"393","1963","523",NA,"Peace","The Nobel Peace Prize",265000,2890771,"1/2","for promoting the principles of the Geneva Convention and cooperation with the UN","1963-10-10",NA,0
"394","1963","78","Eugene Wigner","Physics","The Nobel Prize in Physics",265000,2890771,"1/2","for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",NA,"1902-11-17",0
"395","1963","79","Maria Goeppert Mayer","Physics","The Nobel Prize in Physics",265000,2890771,"1/4","for their discoveries concerning nuclear shell structure",NA,"1906-06-28",0
"396","1963","80","J. Hans D. Jensen","Physics","The Nobel Prize in Physics",265000,2890771,"1/4","for their discoveries concerning nuclear shell structure",NA,"1907-06-25",0
"397","1963","375","Sir John Eccles","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",265000,2890771,"1/3","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane",NA,"1903-01-27",0
"398","1963","376","Alan Hodgkin","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",265000,2890771,"1/3","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane",NA,"1914-02-05",0
"399","1963","377","Andrew Huxley","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",265000,2890771,"1/3","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane",NA,"1917-11-22",0
"400","1964","230","Dorothy Crowfoot Hodgkin","Chemistry","The Nobel Prize in Chemistry",273000,2879320,"1","for her determinations by X-ray techniques of the structures of important biochemical substances",NA,"1910-05-12",0
"401","1964","637","Jean-Paul Sartre","Literature","The Nobel Prize in Literature",273000,2879320,"1","for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",NA,"1905-06-21",0
"402","1964","524","Martin Luther King Jr.","Peace","The Nobel Peace Prize",273000,2879320,"1","for his non-violent struggle for civil rights for the Afro-American population","1964-10-14","1929-01-15",0
"403","1964","81","Charles H. Townes","Physics","The Nobel Prize in Physics",273000,2879320,"1/2","for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",NA,"1915-07-28",0
"404","1964","82","Nicolay G. Basov","Physics","The Nobel Prize in Physics",273000,2879320,"1/4","for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",NA,"1922-12-14",0
"405","1964","83","Aleksandr M. Prokhorov","Physics","The Nobel Prize in Physics",273000,2879320,"1/4","for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",NA,"1916-07-11",0
"406","1964","378","Konrad Bloch","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",273000,2879320,"1/2","for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism",NA,"1912-01-21",0
"407","1964","379","Feodor Lynen","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",273000,2879320,"1/2","for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism",NA,"1911-04-06",0
"408","1965","231","Robert B. Woodward","Chemistry","The Nobel Prize in Chemistry",282000,2833358,"1","for his outstanding achievements in the art of organic synthesis",NA,"1917-04-10",0
"409","1965","638","Mikhail Sholokhov","Literature","The Nobel Prize in Literature",282000,2833358,"1","for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",NA,"1905-05-24",0
"410","1965","525",NA,"Peace","The Nobel Peace Prize",282000,2833358,"1","for its effort to enhance solidarity between nations and reduce the difference between rich and poor states","1965-10-26",NA,0
"411","1965","84","Sin-Itiro Tomonaga","Physics","The Nobel Prize in Physics",282000,2833358,"1/3","for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",NA,"1906-03-31",0
"412","1965","85","Julian Schwinger","Physics","The Nobel Prize in Physics",282000,2833358,"1/3","for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",NA,"1918-02-12",0
"413","1965","86","Richard P. Feynman","Physics","The Nobel Prize in Physics",282000,2833358,"1/3","for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",NA,"1918-05-11",0
"414","1965","380","François Jacob","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",282000,2833358,"1/3","for their discoveries concerning genetic control of enzyme and virus synthesis",NA,"1920-06-17",0
"415","1965","381","André Lwoff","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",282000,2833358,"1/3","for their discoveries concerning genetic control of enzyme and virus synthesis",NA,"1902-05-08",0
"416","1965","382","Jacques Monod","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",282000,2833358,"1/3","for their discoveries concerning genetic control of enzyme and virus synthesis",NA,"1910-02-09",0
"417","1966","232","Robert S. Mulliken","Chemistry","The Nobel Prize in Chemistry",300000,2835149,"1","for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method",NA,"1896-06-07",0
"418","1966","639","Shmuel Agnon","Literature","The Nobel Prize in Literature",300000,2835149,"1/2","for his profoundly characteristic narrative art with motifs from the life of the Jewish people",NA,"1888-07-17",0
"419","1966","640","Nelly Sachs","Literature","The Nobel Prize in Literature",300000,2835149,"1/2","for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength ",NA,"1891-12-10",0
"420","1966",NA,NA,"Peace","The Nobel Peace Prize",300000,2835149,NA,NA,NA,NA,0
